,Image Name,Compression Name,Quality Factor,Compression Rate (uncompressed image size / compressed file size),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
57,subject_partial_dog.webp,baseline_jpeg_q20.yaml,20,0.815,253,basenji,0.17,0.15,0.163
58,subject_puppy.png,baseline_jpeg_q20.yaml,20,0.035,207,golden retriever,0.94,0.98,0.038
59,subject_radio.webp,baseline_jpeg_q20.yaml,20,0.073,754,radio,0.97,0.96,0.011
60,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q3.yaml,3,0.311,972,cliff,0.45,0.02,0.965
61,landscape_hill.png,baseline_jpeg_q3.yaml,3,0.011,984,rapeseed,0.25,0.02,0.915
62,landscape_iceberg.webp,baseline_jpeg_q3.yaml,3,0.182,296,ice bear,0.17,0.0,0.997
63,landscape_kitchen.jpg,baseline_jpeg_q3.yaml,3,0.217,905,window shade,0.34,0.0,1.0
64,subject_Brooklyn_bridge.webp,baseline_jpeg_q3.yaml,3,0.148,718,pier,0.88,0.07,0.917
65,subject_bunny.tif,baseline_jpeg_q3.yaml,3,0.007,330,wood rabbit,0.51,0.48,0.061
66,subject_cat.webp,baseline_jpeg_q3.yaml,3,0.202,281,tabby,0.75,0.21,0.715
67,subject_flowers.webp,baseline_jpeg_q3.yaml,3,0.185,883,vase,0.45,0.0,0.994
68,subject_jellyfish.png,baseline_jpeg_q3.yaml,3,0.024,107,jellyfish,1.0,1.0,0.003
69,subject_partial_dog.webp,baseline_jpeg_q3.yaml,3,0.441,253,basenji,0.17,0.0,0.988
70,subject_puppy.png,baseline_jpeg_q3.yaml,3,0.016,207,golden retriever,0.94,0.18,0.809
71,subject_radio.webp,baseline_jpeg_q3.yaml,3,0.027,754,radio,0.97,0.72,0.263
72,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q4.yaml,4,0.32,972,cliff,0.45,0.05,0.894
73,landscape_hill.png,baseline_jpeg_q4.yaml,4,0.012,984,rapeseed,0.25,0.01,0.948
74,landscape_iceberg.webp,baseline_jpeg_q4.yaml,4,0.202,296,ice bear,0.17,0.0,0.998
