,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Luma Quantization Max,Luma Quantization Stdv,Chroma Quantization Max,Chroma Quantization Stdv,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
160,Artistic_portrait.avif,very_big_blocks.yaml,1,48,50,24,50,24,150.137,109.385,135.669,0.034,190,194,5743,57,48,6509,221,0.982,44.525,107,jellyfish,0.42,0.41,0.025
161,Bright_red_portrait.avif,very_big_blocks.yaml,1,48,50,24,50,24,83.677,94.112,120.395,0.117,57,59,1100,43,38,1415,35,0.963,40.925,684,ocarina,0.75,0.73,0.025
162,Brooklyn_bridge.webp,very_big_blocks.yaml,1,48,50,24,50,24,271.917,120.531,146.814,0.132,178,135,3902,93,44,5111,68,0.954,33.94,718,pier,0.88,0.88,0.0
163,Brush_ends.webp,very_big_blocks.yaml,1,48,50,24,50,24,68.44,70.822,97.104,0.109,58,61,943,26,25,1342,29,0.963,38.738,696,paintbrush,0.96,0.92,0.041
164,bunny.CR2,very_big_blocks.yaml,1,48,50,24,50,24,9250.54,366.891,393.175,0.108,5883,1449,45398,2278,123,149621,1650,0.202,12.094,330,wood rabbit,0.5,0.33,0.346
165,Colorful_patern_portrait.webp,very_big_blocks.yaml,1,48,50,24,50,24,324.284,215.055,241.339,0.093,237,166,3636,114,71,7872,98,0.979,40.958,836,sunglass,0.55,0.55,0.006
166,Colorful_portrait.webp,very_big_blocks.yaml,1,48,50,24,50,24,78.599,77.24,103.523,0.111,65,49,923,28,23,1601,37,0.945,38.948,552,feather boa,1.0,1.0,0.002
167,el_capitain_with_night_sky.webp,very_big_blocks.yaml,1,48,50,24,50,24,238.382,75.553,101.837,0.06,153,148,2845,142,69,6759,94,0.959,39.551,972,cliff,0.45,0.41,0.08
168,green_wheat_field.webp,very_big_blocks.yaml,1,48,50,24,50,24,120.105,87.501,113.783,0.125,79,69,2216,87,72,3123,40,0.955,36.402,984,rapeseed,1.0,1.0,0.0
169,landscape.png,very_big_blocks.yaml,1,48,50,24,50,24,991.514,193.081,219.365,0.087,596,868,7893,269,69,19254,225,0.924,33.277,984,rapeseed,0.25,0.24,0.008
170,man_holding_camera.webp,very_big_blocks.yaml,1,48,50,24,50,24,117.404,103.207,129.49,0.138,76,50,892,36,31,1782,36,0.971,38.504,763,revolver,0.06,0.06,0.023
171,Polar_bear_over_water.webp,very_big_blocks.yaml,1,48,50,24,50,24,73.844,63.576,89.858,0.171,46,34,637,25,25,1144,18,0.96,35.498,296,ice bear,0.17,0.18,0.035
172,Portrate_with_greenery_background.webp,very_big_blocks.yaml,1,48,50,24,50,24,992.764,223.965,250.249,0.035,722,598,18853,271,85,22359,553,0.981,40.737,610,jersey,0.31,0.32,0.026
173,Threads_up_close.webp,very_big_blocks.yaml,1,48,50,24,50,24,67.245,47.6,73.882,0.093,50,43,1739,26,20,1241,26,0.955,36.762,490,chain mail,0.28,0.3,0.074
174,wheat_field.webp,very_big_blocks.yaml,1,48,50,24,50,24,107.3,75.102,101.384,0.147,48,39,744,30,21,1666,28,0.97,36.012,998,ear,0.27,0.23,0.144
