,Image Name,Compression Name,Quality Factor,Compression Rate (uncompressed image size / compressed file size),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
235,Colorful_patern_portrait.webp,baseline_jpeg_q4.yaml,4,0.007,0.644,23.014,836,sunglass,0.55,0.62,0.131
236,Colorful_portrait.webp,baseline_jpeg_q4.yaml,4,0.006,0.611,24.942,552,feather boa,1.0,0.0,0.999
237,el_capitain_with_night_sky.webp,baseline_jpeg_q4.yaml,4,0.006,0.716,26.186,972,cliff,0.45,0.05,0.894
238,green_wheat_field.webp,baseline_jpeg_q4.yaml,4,0.007,0.616,23.393,984,rapeseed,1.0,0.08,0.918
239,landscape.png,baseline_jpeg_q4.yaml,4,0.006,0.635,22.848,984,rapeseed,0.25,0.01,0.948
240,man_holding_camera.webp,baseline_jpeg_q4.yaml,4,0.008,0.636,23.426,763,revolver,0.06,0.0,0.987
241,Polar_bear_over_water.webp,baseline_jpeg_q4.yaml,4,0.008,0.595,23.157,296,ice bear,0.17,0.0,0.998
242,Portrate_with_greenery_background.webp,baseline_jpeg_q4.yaml,4,0.006,0.763,25.101,610,jersey,0.31,0.01,0.976
243,Threads_up_close.webp,baseline_jpeg_q4.yaml,4,0.007,0.746,27.148,490,chain mail,0.28,0.0,0.991
244,wheat_field.webp,baseline_jpeg_q4.yaml,4,0.008,0.667,23.042,998,ear,0.27,0.0,0.989
245,20220422-20220424-elarbi-coachella-4B5A8619.CR2,baseline_jpeg_q40.yaml,40,0.01,0.967,40.864,981,ballplayer,0.16,0.14,0.144
246,20220422-20220424-elarbi-coachella-4B5A8887.CR2,baseline_jpeg_q40.yaml,40,0.018,0.956,37.106,541,drum,0.59,0.58,0.021
247,20220930-elarbi-ner-4B5A2550.CR2,baseline_jpeg_q40.yaml,40,0.013,0.954,39.216,573,go-kart,0.82,0.81,0.02
248,20230501-elarbi-neugradphotos-4B5A7958.CR2,baseline_jpeg_q40.yaml,40,0.023,0.957,36.384,557,flagpole,0.88,0.88,0.002
249,20230501-elarbi-neugradphotos-4B5A7992.CR2,baseline_jpeg_q40.yaml,40,0.016,0.968,38.339,999,toilet tissue,0.13,0.13,0.009
250,20230501-elarbi-neugradphotos-4B5A8009.CR2,baseline_jpeg_q40.yaml,40,0.039,0.941,32.952,683,oboe,0.18,0.18,0.03
251,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,baseline_jpeg_q40.yaml,40,0.006,0.971,42.533,818,spotlight,0.15,0.16,0.105
252,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,baseline_jpeg_q40.yaml,40,0.015,0.949,38.716,841,sweatshirt,0.17,0.17,0.001
253,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,baseline_jpeg_q40.yaml,40,0.022,0.95,37.255,489,chainlink fence,0.93,0.93,0.004
254,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,baseline_jpeg_q40.yaml,40,0.013,0.961,39.226,643,mask,0.35,0.33,0.06
255,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,baseline_jpeg_q40.yaml,40,0.019,0.95,35.594,796,ski mask,0.23,0.23,0.0
256,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,baseline_jpeg_q40.yaml,40,0.011,0.942,39.89,585,hair spray,0.27,0.2,0.24
257,20241017-elarbi-bladeeNYC-4B5A2464.CR2,baseline_jpeg_q40.yaml,40,0.01,0.963,39.882,819,stage,0.69,0.68,0.016
258,20241017-elarbi-bladeeNYC-4B5A2603.CR2,baseline_jpeg_q40.yaml,40,0.013,0.945,39.418,650,microphone,0.22,0.23,0.051
259,20241111-elarbi-thehellpNYC-4B5A4361.CR2,baseline_jpeg_q40.yaml,40,0.02,0.937,37.426,860,tobacco shop,0.33,0.3,0.075
260,20241113-elarbi-thehellpBOS-4B5A4416.CR2,baseline_jpeg_q40.yaml,40,0.025,0.962,35.74,526,desk,0.66,0.61,0.068
261,20241113-elarbi-thehellpBOS-4B5A4417.CR2,baseline_jpeg_q40.yaml,40,0.011,0.965,40.366,784,screwdriver,0.37,0.35,0.031
262,20241113-elarbi-thehellpBOS-4B5A4438.CR2,baseline_jpeg_q40.yaml,40,0.023,0.938,36.113,819,stage,0.64,0.68,0.065
263,20241113-elarbi-thehellpBOS-4B5A4452.CR2,baseline_jpeg_q40.yaml,40,0.013,0.968,38.904,793,shower cap,0.37,0.43,0.142
264,20250222-elarbi-redbullBOS-4B5A4586.CR2,baseline_jpeg_q40.yaml,40,0.015,0.933,38.532,450,bobsled,0.3,0.28,0.094
265,Artistic_portrait.avif,baseline_jpeg_q40.yaml,40,0.011,0.956,41.55,107,jellyfish,0.42,0.37,0.109
266,Bright_red_portrait.avif,baseline_jpeg_q40.yaml,40,0.018,0.917,35.81,684,ocarina,0.75,0.76,0.014
267,Brooklyn_bridge.webp,baseline_jpeg_q40.yaml,40,0.036,0.916,30.112,718,pier,0.88,0.86,0.021
268,Brush_ends.webp,baseline_jpeg_q40.yaml,40,0.021,0.927,35.51,696,paintbrush,0.96,0.92,0.043
269,bunny.CR2,baseline_jpeg_q40.yaml,40,0.03,0.938,34.693,330,wood rabbit,0.5,0.51,0.009
270,Colorful_patern_portrait.webp,baseline_jpeg_q40.yaml,40,0.018,0.916,33.916,836,sunglass,0.55,0.53,0.026
271,Colorful_portrait.webp,baseline_jpeg_q40.yaml,40,0.018,0.877,34.946,552,feather boa,1.0,1.0,0.0
272,el_capitain_with_night_sky.webp,baseline_jpeg_q40.yaml,40,0.016,0.936,37.82,972,cliff,0.45,0.4,0.103
273,green_wheat_field.webp,baseline_jpeg_q40.yaml,40,0.024,0.89,31.819,984,rapeseed,1.0,1.0,0.0
274,landscape.png,baseline_jpeg_q40.yaml,40,0.024,0.848,28.928,984,rapeseed,0.25,0.24,0.026
275,man_holding_camera.webp,baseline_jpeg_q40.yaml,40,0.027,0.924,34.199,763,revolver,0.06,0.04,0.325
276,Polar_bear_over_water.webp,baseline_jpeg_q40.yaml,40,0.032,0.909,31.865,296,ice bear,0.17,0.13,0.227
277,Portrate_with_greenery_background.webp,baseline_jpeg_q40.yaml,40,0.016,0.96,38.011,610,jersey,0.31,0.34,0.099
278,Threads_up_close.webp,baseline_jpeg_q40.yaml,40,0.019,0.949,35.385,490,chain mail,0.28,0.32,0.144
279,wheat_field.webp,baseline_jpeg_q40.yaml,40,0.029,0.929,31.845,998,ear,0.27,0.17,0.351
280,20220422-20220424-elarbi-coachella-4B5A8619.CR2,baseline_jpeg_q5.yaml,5,0.006,0.852,27.821,981,ballplayer,0.16,0.01,0.911
281,20220422-20220424-elarbi-coachella-4B5A8887.CR2,baseline_jpeg_q5.yaml,5,0.007,0.812,26.992,541,drum,0.59,0.43,0.278
282,20220930-elarbi-ner-4B5A2550.CR2,baseline_jpeg_q5.yaml,5,0.006,0.836,29.393,573,go-kart,0.82,0.91,0.104
283,20230501-elarbi-neugradphotos-4B5A7958.CR2,baseline_jpeg_q5.yaml,5,0.007,0.759,25.698,557,flagpole,0.88,0.87,0.013
284,20230501-elarbi-neugradphotos-4B5A7992.CR2,baseline_jpeg_q5.yaml,5,0.007,0.854,27.464,999,toilet tissue,0.13,0.05,0.65
285,20230501-elarbi-neugradphotos-4B5A8009.CR2,baseline_jpeg_q5.yaml,5,0.011,0.703,23.459,683,oboe,0.18,0.05,0.702
286,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,baseline_jpeg_q5.yaml,5,0.005,0.921,27.449,818,spotlight,0.15,0.0,0.991
287,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,baseline_jpeg_q5.yaml,5,0.006,0.77,28.119,841,sweatshirt,0.17,0.03,0.814
288,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,baseline_jpeg_q5.yaml,5,0.008,0.767,27.718,489,chainlink fence,0.93,0.97,0.033
289,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,baseline_jpeg_q5.yaml,5,0.006,0.846,28.649,643,mask,0.35,0.09,0.74
290,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,baseline_jpeg_q5.yaml,5,0.008,0.824,26.854,796,ski mask,0.23,0.37,0.639
291,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,baseline_jpeg_q5.yaml,5,0.006,0.807,28.772,585,hair spray,0.27,0.05,0.8
292,20241017-elarbi-bladeeNYC-4B5A2464.CR2,baseline_jpeg_q5.yaml,5,0.006,0.864,26.878,819,stage,0.69,0.14,0.801
293,20241017-elarbi-bladeeNYC-4B5A2603.CR2,baseline_jpeg_q5.yaml,5,0.006,0.804,30.332,650,microphone,0.22,0.02,0.894
294,20241111-elarbi-thehellpNYC-4B5A4361.CR2,baseline_jpeg_q5.yaml,5,0.007,0.752,28.065,860,tobacco shop,0.33,0.34,0.033
295,20241113-elarbi-thehellpBOS-4B5A4416.CR2,baseline_jpeg_q5.yaml,5,0.008,0.808,25.917,526,desk,0.66,0.65,0.01
296,20241113-elarbi-thehellpBOS-4B5A4417.CR2,baseline_jpeg_q5.yaml,5,0.006,0.866,28.415,784,screwdriver,0.37,0.18,0.516
297,20241113-elarbi-thehellpBOS-4B5A4438.CR2,baseline_jpeg_q5.yaml,5,0.007,0.736,26.466,819,stage,0.64,0.73,0.146
298,20241113-elarbi-thehellpBOS-4B5A4452.CR2,baseline_jpeg_q5.yaml,5,0.006,0.888,28.164,793,shower cap,0.37,0.1,0.725
299,20250222-elarbi-redbullBOS-4B5A4586.CR2,baseline_jpeg_q5.yaml,5,0.006,0.761,27.665,450,bobsled,0.3,0.23,0.231
300,Artistic_portrait.avif,baseline_jpeg_q5.yaml,5,0.006,0.61,29.167,107,jellyfish,0.42,0.01,0.966
301,Bright_red_portrait.avif,baseline_jpeg_q5.yaml,5,0.007,0.707,26.307,684,ocarina,0.75,0.19,0.75
302,Brooklyn_bridge.webp,baseline_jpeg_q5.yaml,5,0.01,0.706,22.901,718,pier,0.88,0.34,0.616
303,Brush_ends.webp,baseline_jpeg_q5.yaml,5,0.008,0.653,25.583,696,paintbrush,0.96,0.03,0.966
304,bunny.CR2,baseline_jpeg_q5.yaml,5,0.009,0.689,25.277,330,wood rabbit,0.5,0.53,0.056
305,Colorful_patern_portrait.webp,baseline_jpeg_q5.yaml,5,0.007,0.678,24.321,836,sunglass,0.55,0.58,0.061
306,Colorful_portrait.webp,baseline_jpeg_q5.yaml,5,0.006,0.626,25.968,552,feather boa,1.0,0.0,0.999
307,el_capitain_with_night_sky.webp,baseline_jpeg_q5.yaml,5,0.006,0.744,27.283,972,cliff,0.45,0.1,0.78
308,green_wheat_field.webp,baseline_jpeg_q5.yaml,5,0.007,0.64,24.573,984,rapeseed,1.0,0.25,0.748
309,landscape.png,baseline_jpeg_q5.yaml,5,0.007,0.648,23.607,984,rapeseed,0.25,0.09,0.654
310,man_holding_camera.webp,baseline_jpeg_q5.yaml,5,0.009,0.672,24.531,763,revolver,0.06,0.01,0.905
311,Polar_bear_over_water.webp,baseline_jpeg_q5.yaml,5,0.009,0.629,23.856,296,ice bear,0.17,0.0,0.998
312,Portrate_with_greenery_background.webp,baseline_jpeg_q5.yaml,5,0.006,0.786,26.483,610,jersey,0.31,0.06,0.815
313,Threads_up_close.webp,baseline_jpeg_q5.yaml,5,0.007,0.718,27.976,490,chain mail,0.28,0.0,0.99
314,wheat_field.webp,baseline_jpeg_q5.yaml,5,0.009,0.705,23.78,998,ear,0.27,0.01,0.98
315,20220422-20220424-elarbi-coachella-4B5A8619.CR2,baseline_jpeg_q60.yaml,60,0.013,0.975,42.491,981,ballplayer,0.16,0.16,0.003
316,20220422-20220424-elarbi-coachella-4B5A8887.CR2,baseline_jpeg_q60.yaml,60,0.025,0.967,38.729,541,drum,0.59,0.57,0.036
317,20220930-elarbi-ner-4B5A2550.CR2,baseline_jpeg_q60.yaml,60,0.02,0.964,40.307,573,go-kart,0.82,0.81,0.017
318,20230501-elarbi-neugradphotos-4B5A7958.CR2,baseline_jpeg_q60.yaml,60,0.031,0.969,37.849,557,flagpole,0.88,0.87,0.01
319,20230501-elarbi-neugradphotos-4B5A7992.CR2,baseline_jpeg_q60.yaml,60,0.021,0.979,40.376,999,toilet tissue,0.13,0.14,0.041
320,20230501-elarbi-neugradphotos-4B5A8009.CR2,baseline_jpeg_q60.yaml,60,0.053,0.958,34.504,683,oboe,0.18,0.15,0.187
321,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,baseline_jpeg_q60.yaml,60,0.009,0.978,44.214,818,spotlight,0.15,0.13,0.126
322,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,baseline_jpeg_q60.yaml,60,0.021,0.964,40.348,841,sweatshirt,0.17,0.16,0.051
323,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,baseline_jpeg_q60.yaml,60,0.03,0.966,39.148,489,chainlink fence,0.93,0.93,0.005
324,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,baseline_jpeg_q60.yaml,60,0.019,0.971,40.651,643,mask,0.35,0.28,0.218
325,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,baseline_jpeg_q60.yaml,60,0.025,0.959,36.845,796,ski mask,0.23,0.17,0.267
326,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,baseline_jpeg_q60.yaml,60,0.018,0.955,41.395,585,hair spray,0.27,0.21,0.212
327,20241017-elarbi-bladeeNYC-4B5A2464.CR2,baseline_jpeg_q60.yaml,60,0.015,0.972,41.495,819,stage,0.69,0.68,0.025
328,20241017-elarbi-bladeeNYC-4B5A2603.CR2,baseline_jpeg_q60.yaml,60,0.02,0.946,40.512,650,microphone,0.22,0.24,0.11
329,20241111-elarbi-thehellpNYC-4B5A4361.CR2,baseline_jpeg_q60.yaml,60,0.031,0.956,38.831,860,tobacco shop,0.33,0.31,0.038
330,20241113-elarbi-thehellpBOS-4B5A4416.CR2,baseline_jpeg_q60.yaml,60,0.034,0.972,37.043,526,desk,0.66,0.68,0.034
331,20241113-elarbi-thehellpBOS-4B5A4417.CR2,baseline_jpeg_q60.yaml,60,0.015,0.972,41.833,784,screwdriver,0.37,0.36,0.015
332,20241113-elarbi-thehellpBOS-4B5A4438.CR2,baseline_jpeg_q60.yaml,60,0.033,0.956,37.517,819,stage,0.64,0.63,0.018
333,20241113-elarbi-thehellpBOS-4B5A4452.CR2,baseline_jpeg_q60.yaml,60,0.017,0.976,40.326,793,shower cap,0.37,0.43,0.152
334,20250222-elarbi-redbullBOS-4B5A4586.CR2,baseline_jpeg_q60.yaml,60,0.024,0.953,40.054,450,bobsled,0.3,0.3,0.014
335,Artistic_portrait.avif,baseline_jpeg_q60.yaml,60,0.014,0.943,43.377,107,jellyfish,0.42,0.5,0.192
336,Bright_red_portrait.avif,baseline_jpeg_q60.yaml,60,0.023,0.941,37.588,684,ocarina,0.75,0.74,0.011
337,Brooklyn_bridge.webp,baseline_jpeg_q60.yaml,60,0.046,0.94,31.874,718,pier,0.88,0.85,0.037
338,Brush_ends.webp,baseline_jpeg_q60.yaml,60,0.027,0.947,37.003,696,paintbrush,0.96,0.96,0.006
339,bunny.CR2,baseline_jpeg_q60.yaml,60,0.041,0.957,36.324,330,wood rabbit,0.5,0.49,0.034
340,Colorful_patern_portrait.webp,baseline_jpeg_q60.yaml,60,0.024,0.938,35.544,836,sunglass,0.55,0.53,0.036
341,Colorful_portrait.webp,baseline_jpeg_q60.yaml,60,0.025,0.909,36.4,552,feather boa,1.0,1.0,0.001
342,el_capitain_with_night_sky.webp,baseline_jpeg_q60.yaml,60,0.021,0.958,39.757,972,cliff,0.45,0.6,0.345
343,green_wheat_field.webp,baseline_jpeg_q60.yaml,60,0.032,0.922,33.466,984,rapeseed,1.0,1.0,0.0
344,landscape.png,baseline_jpeg_q60.yaml,60,0.033,0.877,30.243,984,rapeseed,0.25,0.25,0.025
345,man_holding_camera.webp,baseline_jpeg_q60.yaml,60,0.035,0.945,36.015,763,revolver,0.06,0.03,0.411
346,Polar_bear_over_water.webp,baseline_jpeg_q60.yaml,60,0.042,0.936,33.345,296,ice bear,0.17,0.08,0.518
347,Portrate_with_greenery_background.webp,baseline_jpeg_q60.yaml,60,0.02,0.972,39.649,610,jersey,0.31,0.3,0.035
348,Threads_up_close.webp,baseline_jpeg_q60.yaml,60,0.024,0.964,36.907,490,chain mail,0.28,0.18,0.353
349,wheat_field.webp,baseline_jpeg_q60.yaml,60,0.037,0.948,33.156,998,ear,0.27,0.22,0.181
350,20220422-20220424-elarbi-coachella-4B5A8619.CR2,baseline_jpeg_q80.yaml,80,0.019,0.99,47.375,981,ballplayer,0.16,0.16,0.003
351,20220422-20220424-elarbi-coachella-4B5A8887.CR2,baseline_jpeg_q80.yaml,80,0.034,0.988,43.259,541,drum,0.59,0.57,0.039
352,20220930-elarbi-ner-4B5A2550.CR2,baseline_jpeg_q80.yaml,80,0.029,0.993,47.502,573,go-kart,0.82,0.83,0.001
353,20230501-elarbi-neugradphotos-4B5A7958.CR2,baseline_jpeg_q80.yaml,80,0.042,0.992,44.694,557,flagpole,0.88,0.87,0.004
354,20230501-elarbi-neugradphotos-4B5A7992.CR2,baseline_jpeg_q80.yaml,80,0.029,0.991,44.911,999,toilet tissue,0.13,0.13,0.012
355,20230501-elarbi-neugradphotos-4B5A8009.CR2,baseline_jpeg_q80.yaml,80,0.07,0.986,40.007,683,oboe,0.18,0.16,0.106
356,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,baseline_jpeg_q80.yaml,80,0.016,0.993,49.886,818,spotlight,0.15,0.15,0.013
357,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,baseline_jpeg_q80.yaml,80,0.031,0.987,45.979,841,sweatshirt,0.17,0.17,0.027
358,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,baseline_jpeg_q80.yaml,80,0.041,0.989,44.903,489,chainlink fence,0.93,0.94,0.001
359,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,baseline_jpeg_q80.yaml,80,0.027,0.99,45.723,643,mask,0.35,0.34,0.03
360,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,baseline_jpeg_q80.yaml,80,0.035,0.986,41.661,796,ski mask,0.23,0.22,0.041
361,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,baseline_jpeg_q80.yaml,80,0.027,0.993,48.482,585,hair spray,0.27,0.25,0.059
362,20241017-elarbi-bladeeNYC-4B5A2464.CR2,baseline_jpeg_q80.yaml,80,0.023,0.99,46.126,819,stage,0.69,0.68,0.016
363,20241017-elarbi-bladeeNYC-4B5A2603.CR2,baseline_jpeg_q80.yaml,80,0.029,0.995,49.593,650,microphone,0.22,0.22,0.004
364,20241111-elarbi-thehellpNYC-4B5A4361.CR2,baseline_jpeg_q80.yaml,80,0.043,0.995,48.336,860,tobacco shop,0.33,0.33,0.001
365,20241113-elarbi-thehellpBOS-4B5A4416.CR2,baseline_jpeg_q80.yaml,80,0.047,0.995,46.796,526,desk,0.66,0.63,0.034
366,20241113-elarbi-thehellpBOS-4B5A4417.CR2,baseline_jpeg_q80.yaml,80,0.021,0.993,48.142,784,screwdriver,0.37,0.34,0.064
367,20241113-elarbi-thehellpBOS-4B5A4438.CR2,baseline_jpeg_q80.yaml,80,0.045,0.991,45.212,819,stage,0.64,0.64,0.004
368,20241113-elarbi-thehellpBOS-4B5A4452.CR2,baseline_jpeg_q80.yaml,80,0.024,0.992,46.535,793,shower cap,0.37,0.4,0.065
369,20250222-elarbi-redbullBOS-4B5A4586.CR2,baseline_jpeg_q80.yaml,80,0.035,0.991,46.977,450,bobsled,0.3,0.32,0.039
370,Artistic_portrait.avif,baseline_jpeg_q80.yaml,80,0.018,0.993,47.687,107,jellyfish,0.42,0.4,0.039
371,Bright_red_portrait.avif,baseline_jpeg_q80.yaml,80,0.033,0.967,40.429,684,ocarina,0.75,0.75,0.008
372,Brooklyn_bridge.webp,baseline_jpeg_q80.yaml,80,0.068,0.966,35.101,718,pier,0.88,0.88,0.004
373,Brush_ends.webp,baseline_jpeg_q80.yaml,80,0.04,0.965,39.28,696,paintbrush,0.96,0.95,0.008
374,bunny.CR2,baseline_jpeg_q80.yaml,80,0.056,0.983,41.777,330,wood rabbit,0.5,0.5,0.008
375,Colorful_patern_portrait.webp,baseline_jpeg_q80.yaml,80,0.034,0.961,38.14,836,sunglass,0.55,0.54,0.018
376,Colorful_portrait.webp,baseline_jpeg_q80.yaml,80,0.039,0.95,39.393,552,feather boa,1.0,1.0,0.0
377,el_capitain_with_night_sky.webp,baseline_jpeg_q80.yaml,80,0.031,0.978,42.905,972,cliff,0.45,0.47,0.055
378,green_wheat_field.webp,baseline_jpeg_q80.yaml,80,0.049,0.952,36.13,984,rapeseed,1.0,1.0,0.0
379,landscape.png,baseline_jpeg_q80.yaml,80,0.052,0.913,32.924,984,rapeseed,0.25,0.21,0.143
380,man_holding_camera.webp,baseline_jpeg_q80.yaml,80,0.052,0.966,38.642,763,revolver,0.06,0.05,0.079
381,Polar_bear_over_water.webp,baseline_jpeg_q80.yaml,80,0.063,0.963,35.917,296,ice bear,0.17,0.13,0.268
382,Portrate_with_greenery_background.webp,baseline_jpeg_q80.yaml,80,0.028,0.983,42.418,610,jersey,0.31,0.31,0.009
383,Threads_up_close.webp,baseline_jpeg_q80.yaml,80,0.035,0.98,40.018,490,chain mail,0.28,0.26,0.068
384,wheat_field.webp,baseline_jpeg_q80.yaml,80,0.055,0.968,35.527,998,ear,0.27,0.27,0.003
