,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Norm N,Luma Quantization Max,Luma Quantization Min,Chroma Quantization Max,Chroma Quantization Min,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
310,man_holding_camera.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,10.654,3.331,4.744,0.009,54,338,668,6,2,644,358,0.718,25.009,763,revolver,0.06,0.01,0.88
311,Polar_bear_over_water.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,5.11,2.175,3.587,0.009,36,203,323,2,2,361,181,0.567,24.113,296,ice bear,0.17,0.0,0.986
312,Portrate_with_greenery_background.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,123.445,4.129,5.543,0.004,719,6773,10781,34,2,9586,7102,0.806,26.86,610,jersey,0.31,0.38,0.212
313,Threads_up_close.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,4.941,2.32,3.732,0.006,49,265,605,4,2,509,214,0.722,28.381,490,chain mail,0.28,0.01,0.979
314,wheat_field.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,7.082,2.114,3.526,0.007,47,229,319,4,2,307,216,0.703,24.153,998,ear,0.27,0.0,0.983
315,20220422-20220424-elarbi-coachella-4B5A8619.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,9442.152,149.878,151.075,0.108,4797,9786,26834,2062,55,116291,12149,0.819,15.143,981,ballplayer,0.16,0.03,0.845
316,20220422-20220424-elarbi-coachella-4B5A8887.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,10912.36,191.755,192.952,0.125,4630,9500,27171,2457,66,139142,12507,0.548,13.287,541,drum,0.59,0.36,0.402
317,20220930-elarbi-ner-4B5A2550.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,21958.942,170.528,171.726,0.249,4199,10297,33861,4923,84,245895,12123,0.445,14.537,573,go-kart,0.82,0.53,0.36
318,20230501-elarbi-neugradphotos-4B5A7958.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,13211.616,205.284,206.481,0.151,4055,10500,29107,3478,86,169187,12421,0.472,13.575,557,flagpole,0.88,0.97,0.103
319,20230501-elarbi-neugradphotos-4B5A7992.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,10233.635,170.685,171.882,0.117,4676,10833,26608,2210,55,130551,12607,0.569,9.457,999,toilet tissue,0.13,0.0,0.994
320,20230501-elarbi-neugradphotos-4B5A8009.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,17246.309,176.889,178.086,0.196,4205,10907,30164,3574,83,213678,12526,0.26,14.052,683,oboe,0.18,0.23,0.248
321,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,12921.496,81.78,82.978,0.146,4372,10940,32198,3134,49,142135,12391,0.603,8.469,818,spotlight,0.15,0.23,0.558
322,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,17689.443,167.31,168.507,0.201,4286,10581,32104,3677,75,201775,12843,0.414,10.349,841,sweatshirt,0.17,0.1,0.408
323,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,15100.827,157.932,159.129,0.172,4710,9799,29236,3253,68,181471,12004,0.296,8.678,489,chainlink fence,0.93,0.96,0.031
324,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,10822.601,164.75,165.947,0.124,4353,10310,27243,2337,60,133284,12181,0.615,12.11,643,mask,0.35,0.04,0.893
325,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,14674.605,239.867,241.064,0.168,4123,10271,29186,3041,120,182427,12309,0.593,13.835,796,ski mask,0.23,0.02,0.907
326,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,21602.683,124.262,125.459,0.244,4149,10587,34832,4689,86,243056,12522,0.501,15.028,585,hair spray,0.27,0.08,0.71
327,20241017-elarbi-bladeeNYC-4B5A2464.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,13093.843,196.945,198.143,0.149,4192,10724,28999,2742,76,153426,12276,0.685,14.36,819,stage,0.69,0.54,0.215
328,20241017-elarbi-bladeeNYC-4B5A2603.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,22201.855,170.838,172.035,0.252,4246,10723,34613,4676,93,252083,11922,0.513,16.096,650,microphone,0.22,0.41,0.884
329,20241111-elarbi-thehellpNYC-4B5A4361.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,24637.986,185.301,186.498,0.279,4712,9547,35259,5159,101,220086,11927,0.322,13.692,860,tobacco shop,0.33,0.03,0.897
330,20241113-elarbi-thehellpBOS-4B5A4416.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,19553.95,173.771,174.968,0.222,4072,10715,32503,4271,99,231873,12169,0.498,15.476,526,desk,0.66,0.57,0.13
331,20241113-elarbi-thehellpBOS-4B5A4417.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,12889.605,130.879,132.076,0.146,4051,10274,28692,2634,58,146868,12247,0.687,12.428,784,screwdriver,0.37,0.27,0.274
332,20241113-elarbi-thehellpBOS-4B5A4438.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,17291.048,183.837,185.034,0.196,4630,9441,30975,3541,80,202923,12654,0.432,10.838,819,stage,0.64,0.77,0.208
333,20241113-elarbi-thehellpBOS-4B5A4452.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,15205.579,155.536,156.733,0.173,4931,10332,29534,3163,65,177211,13454,0.635,12.629,793,shower cap,0.37,0.39,0.034
334,20250222-elarbi-redbullBOS-4B5A4586.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,28818.89,182.503,183.7,0.326,4202,11798,37355,6049,112,269518,11876,0.238,18.209,450,bobsled,0.3,0.04,0.853
335,Artistic_portrait.avif,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,330.621,89.83,91.027,0.05,117,931,2104,73,17,6268,1142,0.995,48.471,107,jellyfish,0.42,0.4,0.042
336,Bright_red_portrait.avif,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,140.589,100.159,101.354,0.139,44,316,504,35,20,1935,238,0.971,40.825,684,ocarina,0.75,0.73,0.018
337,Brooklyn_bridge.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,595.38,121.039,122.235,0.227,104,503,1252,129,23,6980,431,0.994,42.173,718,pier,0.88,0.88,0.002
338,Brush_ends.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,206.596,60.382,61.577,0.177,48,233,466,45,15,2308,209,0.983,43.424,696,paintbrush,0.96,0.92,0.036
339,bunny.CR2,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,24245.355,164.643,165.84,0.274,4175,10759,34008,5229,95,249342,12212,0.191,12.092,330,wood rabbit,0.5,0.32,0.37
340,Colorful_patern_portrait.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,651.088,133.34,134.537,0.129,209,827,1864,140,24,7353,806,0.975,37.84,836,sunglass,0.55,0.54,0.008
341,Colorful_portrait.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,209.226,58.472,59.668,0.164,54,243,482,45,12,2970,224,0.973,41.948,552,feather boa,1.0,1.0,0.001
342,el_capitain_with_night_sky.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,554.889,53.889,55.086,0.108,119,644,1539,119,15,6462,758,0.99,44.937,972,cliff,0.45,0.45,0.006
343,green_wheat_field.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,290.616,67.364,68.56,0.192,55,275,656,133,27,4120,336,0.981,41.082,984,rapeseed,1.0,1.0,0.0
344,landscape.png,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,2932.185,102.362,103.56,0.218,247,1939,4575,611,35,32386,1918,0.963,37.136,984,rapeseed,0.25,0.22,0.094
345,man_holding_camera.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,295.688,90.705,91.901,0.216,61,267,583,64,16,3145,246,0.987,40.898,763,revolver,0.06,0.06,0.065
346,Polar_bear_over_water.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,177.691,63.242,64.438,0.253,35,190,351,41,13,1936,135,0.989,42.096,296,ice bear,0.17,0.18,0.048
347,Portrate_with_greenery_background.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,3065.062,110.302,111.499,0.089,667,4591,9475,653,38,37627,5584,0.99,45.083,610,jersey,0.31,0.32,0.014
348,Threads_up_close.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,149.938,49.326,50.521,0.132,34,249,417,32,11,1748,207,0.986,45.023,490,chain mail,0.28,0.36,0.285
349,wheat_field.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,247.821,69.099,70.294,0.223,47,213,477,54,14,2670,196,0.991,40.753,998,ear,0.27,0.29,0.09
350,20220422-20220424-elarbi-coachella-4B5A8619.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,378.977,11.782,13.108,0.004,4773,9661,19862,85,6,20473,12266,0.827,15.353,981,ballplayer,0.16,0.02,0.895
351,20220422-20220424-elarbi-coachella-4B5A8887.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,607.753,14.271,15.597,0.007,4097,11262,20087,161,6,23085,12657,0.585,13.436,541,drum,0.59,0.23,0.61
352,20220930-elarbi-ner-4B5A2550.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,474.667,13.216,14.542,0.005,4957,10513,19049,108,4,20763,12709,0.681,14.83,573,go-kart,0.82,0.62,0.25
353,20230501-elarbi-neugradphotos-4B5A7958.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,703.005,15.621,16.947,0.008,4094,10751,19671,153,7,23854,12187,0.504,13.741,557,flagpole,0.88,0.96,0.097
354,20230501-elarbi-neugradphotos-4B5A7992.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,463.828,10.823,12.149,0.005,4369,10567,20065,106,5,20776,12343,0.589,9.551,999,toilet tissue,0.13,0.0,0.994
355,20230501-elarbi-neugradphotos-4B5A8009.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,1113.273,13.108,14.435,0.013,4071,10589,19704,240,8,26996,12083,0.287,14.282,683,oboe,0.18,0.23,0.254
356,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,209.865,4.694,6.021,0.002,4716,9874,19301,50,4,16787,12374,0.664,8.549,818,spotlight,0.15,0.35,1.36
357,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,653.966,11.62,12.946,0.007,4393,10564,21154,141,5,22657,12637,0.466,10.416,841,sweatshirt,0.17,0.13,0.249
358,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,783.98,12.191,13.518,0.009,4405,10481,19614,169,4,25564,12756,0.328,8.772,489,chainlink fence,0.93,0.95,0.019
359,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,425.729,13.458,14.784,0.005,4029,11479,19573,95,6,21002,12164,0.65,12.306,643,mask,0.35,0.04,0.895
360,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,826.8,20.215,21.541,0.01,4095,11037,19844,177,10,26677,12315,0.649,13.995,796,ski mask,0.23,0.03,0.877
361,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,380.084,10.413,11.739,0.004,4870,9824,19477,89,5,19687,12474,0.732,15.335,585,hair spray,0.27,0.06,0.789
362,20241017-elarbi-bladeeNYC-4B5A2464.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,413.056,14.644,15.97,0.005,4143,10593,19081,95,6,19838,12624,0.731,14.467,819,stage,0.69,0.49,0.287
363,20241017-elarbi-bladeeNYC-4B5A2603.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,531.271,13.048,14.374,0.006,4168,10440,19553,117,6,21860,12319,0.727,16.376,650,microphone,0.22,0.41,0.924
364,20241111-elarbi-thehellpNYC-4B5A4361.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,658.457,15.851,17.177,0.008,4324,10967,19579,144,8,23380,12955,0.535,14.042,860,tobacco shop,0.33,0.04,0.875
365,20241113-elarbi-thehellpBOS-4B5A4416.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,916.486,14.102,15.428,0.01,4132,11235,19518,194,8,25720,12866,0.555,15.855,526,desk,0.66,0.57,0.128
366,20241113-elarbi-thehellpBOS-4B5A4417.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,359.844,10.901,12.228,0.004,4106,10552,19793,82,5,19595,12585,0.751,12.596,784,screwdriver,0.37,0.26,0.288
367,20241113-elarbi-thehellpBOS-4B5A4438.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,727.234,16.984,18.311,0.008,4371,10727,20996,160,6,23750,13036,0.481,10.944,819,stage,0.64,0.74,0.158
368,20241113-elarbi-thehellpBOS-4B5A4452.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,596.67,12.374,13.7,0.007,4360,11272,19266,128,4,22477,12511,0.695,12.724,793,shower cap,0.37,0.31,0.179
369,20250222-elarbi-redbullBOS-4B5A4586.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,1011.569,17.384,18.71,0.012,4177,11314,20149,215,8,30030,12602,0.536,19.042,450,bobsled,0.3,0.07,0.785
370,Artistic_portrait.avif,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,48.202,8.638,9.964,0.007,117,932,2588,17,4,2076,1133,0.919,37.137,107,jellyfish,0.42,0.4,0.049
371,Bright_red_portrait.avif,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,16.782,10.154,11.479,0.016,68,241,417,5,3,557,242,0.857,31.871,684,ocarina,0.75,0.7,0.069
372,Brooklyn_bridge.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,84.237,14.652,15.978,0.032,109,498,1039,18,5,1628,457,0.882,28.976,718,pier,0.88,0.86,0.015
373,Brush_ends.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,16.551,6.596,7.92,0.016,48,227,337,6,2,419,207,0.868,32.188,696,paintbrush,0.96,0.78,0.186
374,bunny.CR2,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,1657.961,15.501,16.827,0.019,4560,9571,20773,353,8,34199,12214,0.218,12.101,330,wood rabbit,0.5,0.33,0.346
375,Colorful_patern_portrait.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,65.357,11.735,13.062,0.013,151,693,1371,17,2,2391,810,0.855,29.991,836,sunglass,0.55,0.54,0.016
376,Colorful_portrait.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,12.796,6.229,7.555,0.012,49,251,511,4,2,386,216,0.796,31.38,552,feather boa,1.0,0.49,0.507
377,el_capitain_with_night_sky.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,38.396,4.523,5.85,0.008,120,714,1208,10,1,1367,759,0.88,33.838,972,cliff,0.45,0.33,0.269
378,green_wheat_field.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,27.881,10.038,11.362,0.021,58,263,415,8,2,621,256,0.838,30.186,984,rapeseed,1.0,1.0,0.001
379,landscape.png,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,253.544,14.101,15.427,0.019,229,2226,3211,53,4,6311,2112,0.826,28.941,984,rapeseed,0.25,0.25,0.016
380,man_holding_camera.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,27.179,10.089,11.414,0.022,74,321,546,11,3,734,240,0.86,30.107,763,revolver,0.06,0.05,0.183
381,Polar_bear_over_water.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,18.773,7.219,8.543,0.029,36,193,219,5,2,379,132,0.81,29.091,296,ice bear,0.17,0.08,0.518
382,Portrate_with_greenery_background.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,298.194,11.618,12.944,0.009,567,3976,8529,65,5,10323,5393,0.916,34.105,610,jersey,0.31,0.36,0.148
383,Threads_up_close.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,16.983,6.518,7.842,0.016,36,229,345,6,3,441,216,0.903,33.56,490,chain mail,0.28,0.25,0.123
384,wheat_field.webp,L2_quantization_quality.yaml,2,8,2.0,40,20,50,30,24.777,7.042,8.366,0.023,46,227,334,6,2,522,200,0.877,28.982,998,ear,0.27,0.05,0.819
385,20220422-20220424-elarbi-coachella-4B5A8619.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,303.518,7.231,8.569,0.004,4144,11001,19336,70,5,18913,12379,0.821,15.432,981,ballplayer,0.16,0.02,0.897
386,20220422-20220424-elarbi-coachella-4B5A8887.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,438.241,8.952,10.29,0.005,4471,9707,19766,97,5,20506,13396,0.587,13.487,541,drum,0.59,0.2,0.669
387,20220930-elarbi-ner-4B5A2550.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,349.058,8.133,9.471,0.004,4248,10730,19104,85,5,19446,12360,0.692,14.934,573,go-kart,0.82,0.65,0.211
388,20230501-elarbi-neugradphotos-4B5A7958.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,457.817,9.887,11.225,0.005,4235,10787,20231,103,6,21144,12214,0.511,13.793,557,flagpole,0.88,0.95,0.078
389,20230501-elarbi-neugradphotos-4B5A7992.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,340.293,6.323,7.661,0.004,4546,10373,20162,76,4,18879,12815,0.59,9.591,999,toilet tissue,0.13,0.0,0.995
390,20230501-elarbi-neugradphotos-4B5A8009.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,681.009,7.812,9.15,0.008,4134,10916,19742,164,5,24425,12487,0.289,14.383,683,oboe,0.18,0.21,0.114
391,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,197.552,2.76,4.098,0.002,4533,10686,19814,48,3,17489,12469,0.668,8.593,818,spotlight,0.15,0.2,0.38
392,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,428.583,6.89,8.228,0.005,5131,9983,19511,101,5,21524,13196,0.471,10.431,841,sweatshirt,0.17,0.14,0.187
393,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,558.436,7.189,8.527,0.006,4780,9715,27139,123,4,20952,12067,0.329,8.806,489,chainlink fence,0.93,0.97,0.041
394,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,327.266,8.515,9.853,0.004,4005,9694,19655,75,4,17937,12585,0.653,12.369,643,mask,0.35,0.06,0.828
395,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,564.289,12.92,14.258,0.007,4200,9931,19626,126,5,22311,12652,0.651,14.06,796,ski mask,0.23,0.05,0.798
396,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,298.066,6.771,8.109,0.003,4431,9980,20663,72,3,17982,14332,0.733,15.444,585,hair spray,0.27,0.04,0.834
397,20241017-elarbi-bladeeNYC-4B5A2464.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,321.229,8.4,9.738,0.004,4380,10176,19746,77,5,20133,12512,0.733,14.538,819,stage,0.69,0.46,0.332
398,20241017-elarbi-bladeeNYC-4B5A2603.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,379.626,7.05,8.388,0.004,4368,9772,19812,94,5,19209,12453,0.72,16.453,650,microphone,0.22,0.38,0.761
399,20241111-elarbi-thehellpNYC-4B5A4361.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,407.505,9.16,10.498,0.005,4469,10177,19630,98,5,19643,12653,0.548,14.154,860,tobacco shop,0.33,0.04,0.886
400,20241113-elarbi-thehellpBOS-4B5A4416.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,537.771,8.731,10.069,0.006,4303,9862,20450,134,5,21359,12571,0.558,16.025,526,desk,0.66,0.66,0.009
401,20241113-elarbi-thehellpBOS-4B5A4417.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,281.969,6.169,7.507,0.003,4310,9874,19957,66,4,17531,12814,0.75,12.653,784,screwdriver,0.37,0.33,0.085
402,20241113-elarbi-thehellpBOS-4B5A4438.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,471.188,10.191,11.529,0.005,4452,9905,20145,110,6,20462,13068,0.487,11.0,819,stage,0.64,0.77,0.203
403,20241113-elarbi-thehellpBOS-4B5A4452.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,406.955,7.024,8.362,0.005,4765,10260,19848,96,5,19994,12649,0.7,12.822,793,shower cap,0.37,0.35,0.073
404,20250222-elarbi-redbullBOS-4B5A4586.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,449.782,9.985,11.323,0.005,4460,10175,20118,104,6,19779,12527,0.6,19.116,450,bobsled,0.3,0.07,0.776
405,Artistic_portrait.avif,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,34.573,5.324,6.662,0.005,129,966,1980,9,2,1773,1187,0.856,34.523,107,jellyfish,0.42,0.48,0.151
406,Bright_red_portrait.avif,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,11.433,6.71,8.046,0.011,49,266,436,4,1,428,256,0.806,29.778,684,ocarina,0.75,0.49,0.339
407,Brooklyn_bridge.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,48.228,9.874,11.211,0.019,99,391,742,12,3,1134,455,0.811,26.277,718,pier,0.88,0.82,0.067
408,Brush_ends.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,10.282,3.953,5.289,0.01,40,229,342,4,1,386,216,0.813,30.158,696,paintbrush,0.96,0.78,0.185
409,bunny.CR2,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,1058.854,9.764,11.102,0.012,4237,10320,20427,233,7,26263,12621,0.217,12.067,330,wood rabbit,0.5,0.29,0.421
410,Colorful_patern_portrait.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,45.428,7.65,8.988,0.009,154,686,1390,13,2,1648,893,0.805,27.966,836,sunglass,0.55,0.56,0.021
411,Colorful_portrait.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,8.301,3.048,4.385,0.008,55,242,363,4,0,356,231,0.738,29.868,552,feather boa,1.0,0.02,0.98
412,el_capitain_with_night_sky.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,22.892,2.745,4.083,0.005,121,645,1239,9,1,1160,783,0.832,31.926,972,cliff,0.45,0.35,0.223
413,green_wheat_field.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,15.165,7.009,8.345,0.013,57,297,479,6,2,508,274,0.768,28.111,984,rapeseed,1.0,1.0,0.002
414,landscape.png,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,112.646,9.404,10.742,0.009,243,1536,3437,31,3,3920,1934,0.743,26.542,984,rapeseed,0.25,0.22,0.114
415,man_holding_camera.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,17.971,6.368,7.705,0.014,56,259,407,6,1,513,258,0.806,28.15,763,revolver,0.06,0.04,0.325
416,Polar_bear_over_water.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,10.182,4.479,5.814,0.017,33,164,229,4,1,283,142,0.703,26.906,296,ice bear,0.17,0.03,0.799
417,Portrate_with_greenery_background.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,195.728,7.805,9.143,0.006,551,4094,7991,46,4,8350,5090,0.877,31.479,610,jersey,0.31,0.36,0.166
418,Threads_up_close.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,9.627,4.299,5.635,0.01,42,219,350,4,2,376,218,0.839,31.004,490,chain mail,0.28,0.09,0.683
419,wheat_field.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,13.925,4.116,5.452,0.014,43,218,334,5,2,415,202,0.806,26.969,998,ear,0.27,0.02,0.943
420,20220422-20220424-elarbi-coachella-4B5A8619.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,824.158,36.208,37.494,0.01,4271,10122,24403,220,12,24817,12037,0.836,15.212,981,ballplayer,0.16,0.02,0.849
421,20220422-20220424-elarbi-coachella-4B5A8887.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,1503.247,44.863,46.149,0.017,4079,10308,20528,322,13,33850,12088,0.57,13.331,541,drum,0.59,0.31,0.486
422,20220930-elarbi-ner-4B5A2550.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,2554.369,45.547,46.833,0.029,4938,9682,21174,536,17,42562,12134,0.585,14.645,573,go-kart,0.82,0.55,0.336
423,20230501-elarbi-neugradphotos-4B5A7958.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,2011.97,50.086,51.372,0.023,4146,10745,20786,496,19,40192,12621,0.489,13.616,557,flagpole,0.88,0.97,0.109
424,20230501-elarbi-neugradphotos-4B5A7992.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,1210.52,39.202,40.488,0.014,5110,9864,20018,264,11,29102,12158,0.583,9.483,999,toilet tissue,0.13,0.0,0.994
425,20230501-elarbi-neugradphotos-4B5A8009.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,3195.195,40.164,41.45,0.036,4193,10118,21727,686,17,47960,12277,0.274,14.129,683,oboe,0.18,0.22,0.21
426,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,353.586,19.402,20.688,0.004,4347,10428,19327,85,5,18911,12123,0.654,8.491,818,spotlight,0.15,0.25,0.691
427,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,2028.452,38.419,39.705,0.023,4831,9673,20991,438,14,36290,12413,0.453,10.376,841,sweatshirt,0.17,0.1,0.411
