,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Luma Quantization Max,Norm N,Luma Quantization Stdv,Chroma Quantization Max,Chroma Quantization Stdv,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
199,bunny.CR2,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,3923.353,47.253,48.593,0.045,4417,10930,22710,835,27,59997,13486,0.218,12.133,330,wood rabbit,0.5,0.32,0.359
200,Colorful_patern_portrait.webp,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,150.35,35.921,37.261,0.031,164,690,1434,37,8,2854,852,0.939,34.605,836,sunglass,0.55,0.55,0.012
201,Colorful_portrait.webp,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,39.57,15.907,17.246,0.035,56,284,1123,22,6,800,231,0.912,36.243,552,feather boa,1,0.99,0.006
202,el_capitain_with_night_sky.webp,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,110.451,13.722,15.062,0.022,136,650,1295,24,2,2255,787,0.956,39.399,972,cliff,0.45,0.37,0.182
203,green_wheat_field.webp,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,66.364,23.986,25.324,0.049,62,325,599,18,6,1247,262,0.93,34.485,984,rapeseed,1,1,0
204,landscape.png,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,547.938,33.724,35.063,0.042,262,1533,4235,122,9,8508,1963,0.897,32.157,984,rapeseed,0.25,0.25,0.017
205,man_holding_camera.webp,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,63.279,28.688,30.027,0.052,58,265,458,15,5,933,265,0.942,35.317,763,revolver,0.06,0.04,0.298
206,Polar_bear_over_water.webp,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,44.172,19.104,20.442,0.067,38,191,256,10,4,629,137,0.944,33.729,296,ice bear,0.17,0.13,0.233
207,Portrate_with_greenery_background.webp,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,698.446,33.429,34.769,0.021,565,4131,9749,157,13,15557,5171,0.974,39.853,610,jersey,0.31,0.32,0.023
208,Threads_up_close.webp,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,37.718,15.374,16.712,0.036,47,249,365,10,5,698,466,0.969,37.692,490,chain mail,0.28,0.4,0.422
209,wheat_field.webp,gauss_quantization_quality.yaml,2,8,30,gauss,5,40,5,57.951,19.167,20.505,0.055,49,252,372,17,5,877,205,0.95,33.363,998,ear,0.27,0.26,0.012
