,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Norm N,Luma Quantization Max,Luma Quantization Min,Chroma Quantization Max,Chroma Quantization Min,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
130,subject_Brooklyn_bridge.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,595.38,121.039,122.235,0.227,90,385,990,128,23,5804,432,718,pier,0.88,0.88,0.002
131,subject_bunny.tif,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,5112.084,108.658,109.855,0.237,21,2411,7419,1173,36,53943,3030,330,wood rabbit,0.51,0.53,0.055
132,subject_cat.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,144.378,62.375,63.57,0.189,33,183,333,33,11,1666,157,281,tabby,0.75,0.75,0.003
133,subject_flowers.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,349.582,103.056,104.252,0.127,93,425,999,79,19,4254,490,883,vase,0.45,0.45,0.003
134,subject_greenroom.tif,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,3832.052,150.765,151.962,0.181,21,2397,6740,793,39,42691,3457,526,desk,0.67,0.66,0.024
135,subject_jellyfish.png,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,341.176,80.644,81.841,0.099,80,721,1349,76,15,4665,588,107,jellyfish,1.0,1.0,0.0
136,subject_partial_dog.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,106.82,53.283,54.479,0.15,27,172,316,26,9,1875,433,253,basenji,0.17,0.2,0.16
137,subject_puppy.png,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,664.348,116.496,117.693,0.155,127,819,2466,153,24,7280,694,207,golden retriever,0.94,0.95,0.004
138,subject_racecar.tif,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,2663.535,155.584,156.781,0.128,25,2989,6505,559,36,34537,3123,573,go-kart,0.83,0.76,0.081
139,subject_radio.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,1078.037,117.27,118.467,0.294,117,463,1449,224,25,12504,561,754,radio,0.97,0.97,0.0
140,landscape_crowd.tif,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,162.256,13.82,15.147,0.008,22,2391,4801,37,4,5753,3129,981,ballplayer,0.16,0.1,0.413
141,landscape_el_capitain_with_night_sky.webp,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,40.733,4.671,5.998,0.008,109,629,1210,11,2,1366,747,972,cliff,0.45,0.34,0.232
142,landscape_hill.png,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,275.201,14.151,15.479,0.021,228,1492,3176,60,5,5791,1989,984,rapeseed,0.25,0.25,0.024
143,landscape_iceberg.webp,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,20.046,7.41,8.735,0.03,33,174,226,6,3,346,152,296,ice bear,0.17,0.11,0.366
144,subject_Brooklyn_bridge.webp,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,90.688,15.67,16.996,0.034,87,368,734,20,4,1427,442,718,pier,0.88,0.86,0.018
145,subject_bunny.tif,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,576.682,12.765,14.092,0.027,21,2402,5680,118,6,8787,3721,330,wood rabbit,0.51,0.46,0.092
146,subject_cat.webp,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,18.969,8.549,9.874,0.026,29,175,246,7,2,384,152,281,tabby,0.75,0.7,0.066
147,subject_flowers.webp,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,39.759,10.352,11.678,0.014,78,417,792,11,3,1156,470,883,vase,0.45,0.45,0.014
148,subject_greenroom.tif,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,462.448,16.138,17.465,0.022,21,2405,5386,108,6,8032,3008,526,desk,0.67,0.73,0.088
149,subject_jellyfish.png,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,22.94,10.812,12.139,0.008,75,545,912,8,2,1188,1253,107,jellyfish,1.0,1.0,0.0
150,subject_partial_dog.webp,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,9.716,5.251,6.576,0.015,31,189,234,4,2,278,147,253,basenji,0.17,0.12,0.337
151,subject_puppy.png,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,64.489,13.043,14.37,0.016,76,568,1133,16,3,1562,708,207,golden retriever,0.94,0.97,0.029
152,subject_racecar.tif,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,186.471,15.422,16.749,0.009,24,2376,4778,48,6,6638,3054,573,go-kart,0.83,0.78,0.06
153,subject_radio.webp,L2_quantization_quality.yaml,2,8,12.0,40,20,50,30,184.707,20.127,21.454,0.051,111,445,999,43,6,2534,559,754,radio,0.97,0.92,0.057
154,landscape_crowd.tif,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,116.06,8.378,9.716,0.006,23,2826,4733,27,3,4597,3382,981,ballplayer,0.16,0.08,0.52
155,landscape_el_capitain_with_night_sky.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,22.892,2.745,4.083,0.005,142,628,1181,6,1,1114,751,972,cliff,0.45,0.35,0.223
156,landscape_hill.png,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,112.646,9.404,10.742,0.009,221,1510,2957,25,3,3723,2590,984,rapeseed,0.25,0.22,0.114
157,landscape_iceberg.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,10.182,4.479,5.814,0.017,28,154,221,3,2,250,130,296,ice bear,0.17,0.03,0.799
158,subject_Brooklyn_bridge.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,48.228,9.874,11.211,0.019,83,380,701,11,3,1126,423,718,pier,0.88,0.82,0.067
159,subject_bunny.tif,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,308.891,8.472,9.81,0.014,21,2416,4873,67,3,7529,2984,330,wood rabbit,0.51,0.47,0.076
160,subject_cat.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,9.991,5.55,6.886,0.015,28,166,239,3,1,294,151,281,tabby,0.75,0.67,0.097
161,subject_flowers.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,23.952,6.184,7.521,0.009,77,451,771,7,1,855,483,883,vase,0.45,0.5,0.125
162,subject_greenroom.tif,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,222.027,10.08,11.418,0.011,21,2925,4810,49,4,5882,3715,526,desk,0.67,0.77,0.139
163,subject_jellyfish.png,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,16.104,6.437,7.774,0.006,72,506,897,6,2,831,580,107,jellyfish,1.0,1.0,0.0
164,subject_partial_dog.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,6.396,3.153,4.489,0.01,24,186,233,3,0,233,148,253,basenji,0.17,0.05,0.691
165,subject_puppy.png,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,32.184,8.488,9.826,0.008,82,569,1115,10,1,1179,671,207,golden retriever,0.94,0.97,0.028
166,subject_racecar.tif,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,125.853,9.312,10.65,0.006,22,2447,5191,29,3,5039,2962,573,go-kart,0.83,0.81,0.025
167,subject_radio.webp,L3_quantization_agressive.yaml,2,8,3.0,100,30,125,40,106.001,12.71,14.048,0.03,112,465,926,23,3,1745,1179,754,radio,0.97,0.88,0.094
168,landscape_crowd.tif,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,357.495,37.169,38.455,0.018,27,2415,4799,89,10,7979,3193,981,ballplayer,0.16,0.13,0.193
169,landscape_el_capitain_with_night_sky.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,127.0,12.954,14.24,0.025,113,677,1277,28,3,2088,748,972,cliff,0.45,0.37,0.179
170,landscape_hill.png,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,708.141,30.398,31.685,0.053,227,1518,4268,149,9,9433,1856,984,rapeseed,0.25,0.25,0.028
171,landscape_iceberg.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,55.434,16.89,18.174,0.077,34,180,347,18,5,1121,131,296,ice bear,0.17,0.15,0.126
172,subject_Brooklyn_bridge.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,212.358,38.589,39.874,0.08,88,367,815,46,8,2848,430,718,pier,0.88,0.88,0.002
173,subject_bunny.tif,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,1428.006,30.133,31.419,0.066,21,2396,5489,318,11,19619,3029,330,wood rabbit,0.51,0.51,0.01
174,subject_cat.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,46.996,18.522,19.807,0.061,35,170,275,11,4,649,151,281,tabby,0.75,0.77,0.035
175,subject_flowers.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,113.028,27.102,28.387,0.04,74,434,820,25,6,1759,476,883,vase,0.45,0.45,0.001
176,subject_greenroom.tif,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,1132.928,41.365,42.651,0.053,22,3269,5325,231,11,15513,2929,526,desk,0.67,0.69,0.029
177,subject_jellyfish.png,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,55.189,25.266,26.552,0.019,70,498,926,13,5,1378,1374,107,jellyfish,1.0,1.0,0.0
178,subject_partial_dog.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,23.921,13.003,14.287,0.035,30,188,296,8,3,471,145,253,basenji,0.17,0.19,0.115
179,subject_puppy.png,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,183.889,32.604,33.891,0.043,78,612,1308,40,7,2734,668,207,golden retriever,0.94,0.96,0.014
180,subject_racecar.tif,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,442.91,43.262,44.548,0.022,24,2380,5422,95,9,8766,2879,573,go-kart,0.83,0.75,0.099
181,subject_radio.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,381.022,44.141,45.427,0.105,115,535,1881,83,11,4231,559,754,radio,0.97,0.96,0.009
182,landscape_crowd.tif,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,154.564,12.928,14.254,0.008,21,2387,4817,34,4,6077,3008,981,ballplayer,0.16,0.1,0.411
183,landscape_el_capitain_with_night_sky.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,36.326,4.438,5.764,0.007,105,670,1214,9,1,1308,748,972,cliff,0.45,0.31,0.309
184,landscape_hill.png,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,227.273,13.688,15.015,0.017,226,1652,3748,49,5,4905,1920,984,rapeseed,0.25,0.24,0.029
185,landscape_iceberg.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,17.398,6.907,8.231,0.027,29,193,232,6,2,335,129,296,ice bear,0.17,0.07,0.583
186,subject_Brooklyn_bridge.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,79.065,14.289,15.614,0.03,86,372,720,20,4,1439,797,718,pier,0.88,0.86,0.021
187,subject_bunny.tif,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,512.335,11.863,13.189,0.024,21,2385,5059,106,4,8876,2962,330,wood rabbit,0.51,0.45,0.116
188,subject_cat.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,16.625,7.961,9.285,0.024,31,190,257,5,3,360,152,281,tabby,0.75,0.66,0.119
189,subject_flowers.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,36.098,9.599,10.924,0.013,75,432,778,9,2,1008,472,883,vase,0.45,0.49,0.095
190,subject_greenroom.tif,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,397.991,15.168,16.494,0.019,20,2414,5420,84,4,8139,3388,526,desk,0.67,0.74,0.094
191,subject_jellyfish.png,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,21.679,10.287,11.613,0.008,76,512,899,8,3,899,582,107,jellyfish,1.0,1.0,0.0
192,subject_partial_dog.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,9.131,4.995,6.319,0.014,27,172,233,3,2,263,145,253,basenji,0.17,0.13,0.235
193,subject_puppy.png,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,55.854,11.992,13.318,0.014,89,565,1145,14,3,1471,742,207,golden retriever,0.94,0.97,0.024
194,subject_racecar.tif,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,173.557,14.347,15.673,0.009,21,2553,5191,38,4,5630,2941,573,go-kart,0.83,0.78,0.058
195,subject_radio.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,163.952,18.53,19.856,0.045,121,466,1014,36,5,3336,546,754,radio,0.97,0.92,0.056
196,landscape_crowd.tif,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,79.64,4.639,6.045,0.004,22,2408,4721,20,2,4308,3701,981,ballplayer,0.16,0.03,0.785
197,landscape_el_capitain_with_night_sky.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,14.967,1.174,2.58,0.003,142,644,1181,5,0,1061,755,972,cliff,0.45,0.1,0.778
198,landscape_hill.png,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,52.779,4.461,5.867,0.004,227,1516,2939,12,1,3508,1889,984,rapeseed,0.25,0.07,0.696
199,landscape_iceberg.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,5.136,2.197,3.602,0.009,28,161,221,2,1,200,135,296,ice bear,0.17,0.0,0.986
200,subject_Brooklyn_bridge.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,26.15,5.421,6.826,0.01,89,379,693,7,1,818,423,718,pier,0.88,0.72,0.183
201,subject_bunny.tif,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,158.362,4.665,6.071,0.007,21,2436,4732,35,2,5779,2963,330,wood rabbit,0.51,0.6,0.187
202,subject_cat.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,5.204,3.107,4.512,0.009,28,170,237,2,2,232,149,281,tabby,0.75,0.42,0.443
203,subject_flowers.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,14.625,3.158,4.563,0.005,74,421,758,4,1,706,479,883,vase,0.45,0.38,0.144
204,subject_greenroom.tif,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,104.888,5.617,7.023,0.005,21,2454,5412,24,3,4580,2992,526,desk,0.67,0.81,0.201
205,subject_jellyfish.png,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,12.021,3.579,4.985,0.004,71,500,1003,6,4,1212,575,107,jellyfish,1.0,1.0,0.0
206,subject_partial_dog.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,4.111,1.557,2.961,0.007,25,164,236,1,0,211,144,253,basenji,0.17,0.01,0.946
207,subject_puppy.png,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,18.784,4.924,6.33,0.005,82,571,1108,5,1,975,730,207,golden retriever,0.94,0.95,0.007
208,subject_racecar.tif,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,85.806,5.169,6.575,0.004,25,2381,4854,20,3,5100,2981,573,go-kart,0.83,0.87,0.044
209,subject_radio.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,60.464,7.967,9.373,0.017,122,466,913,14,3,1339,583,754,radio,0.97,0.81,0.163
210,landscape_crowd.tif,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,160.02,13.714,15.04,0.008,22,2382,5513,36,3,5412,3030,981,ballplayer,0.16,0.1,0.403
211,landscape_el_capitain_with_night_sky.webp,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,39.029,4.673,5.999,0.008,113,624,1720,11,2,1430,752,972,cliff,0.45,0.33,0.267
212,landscape_hill.png,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,260.65,14.486,15.812,0.02,228,1489,3091,56,4,5371,2601,984,rapeseed,0.25,0.25,0.031
213,landscape_iceberg.webp,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,19.113,7.209,8.533,0.029,30,158,230,6,2,362,134,296,ice bear,0.17,0.1,0.427
214,subject_Brooklyn_bridge.webp,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,86.124,15.011,16.336,0.032,84,367,729,19,4,1354,440,718,pier,0.88,0.86,0.02
215,subject_bunny.tif,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,555.735,12.493,13.819,0.026,21,2433,5048,114,5,9018,2935,330,wood rabbit,0.51,0.46,0.097
216,subject_cat.webp,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,18.182,8.467,9.791,0.025,30,187,250,5,3,418,151,281,tabby,0.75,0.7,0.062
217,subject_flowers.webp,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,38.491,10.144,11.469,0.014,76,425,790,11,4,1843,508,883,vase,0.45,0.45,0.008
218,subject_greenroom.tif,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,440.036,15.819,17.146,0.021,19,2412,4979,90,5,8211,2948,526,desk,0.67,0.74,0.096
219,subject_jellyfish.png,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,22.614,10.808,12.134,0.008,71,492,897,7,3,919,562,107,jellyfish,1.0,1.0,0.0
220,subject_partial_dog.webp,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,9.582,5.207,6.531,0.015,25,173,242,4,1,268,144,253,basenji,0.17,0.12,0.295
221,subject_puppy.png,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,61.668,12.804,14.13,0.015,85,611,1115,15,3,1518,824,207,golden retriever,0.94,0.97,0.027
222,subject_racecar.tif,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,181.892,15.185,16.511,0.009,27,2531,4797,41,4,5839,3501,573,go-kart,0.83,0.78,0.055
223,subject_radio.webp,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,177.366,19.281,20.607,0.049,112,477,1006,38,5,2467,542,754,radio,0.97,0.92,0.055
