,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Luma Quantization Max,Luma Quantization Stdv,Chroma Quantization Max,Chroma Quantization Stdv,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
31,landscape_iceberg.webp,gauss_quantization_moderate.yaml,2,8,60,6,75,6,17.969,8.108,9.464,0.029,35,159,228,6,1,380,130,296,ice bear,0.17,0.14,0.19
32,subject_Brooklyn_bridge.webp,gauss_quantization_moderate.yaml,2,8,60,6,75,6,77.513,15.531,16.888,0.03,95,370,769,17,3,1810,437,718,pier,0.88,0.88,0.001
33,subject_bunny.tif,gauss_quantization_moderate.yaml,2,8,60,6,75,6,524.045,13.182,14.539,0.024,20,2384,5024,108,5,9146,2970,330,wood rabbit,0.51,0.48,0.051
34,subject_cat.webp,gauss_quantization_moderate.yaml,2,8,60,6,75,6,16.413,8.841,10.196,0.024,28,173,247,5,2,357,149,281,tabby,0.75,0.7,0.062
35,subject_flowers.webp,gauss_quantization_moderate.yaml,2,8,60,6,75,6,38.309,11.021,12.378,0.014,81,415,774,10,3,1036,488,883,vase,0.45,0.47,0.055
36,subject_greenroom.tif,gauss_quantization_moderate.yaml,2,8,60,6,75,6,388.405,17.153,18.511,0.018,21,2460,5360,82,5,7801,3432,526,desk,0.67,0.67,0.002
37,subject_jellyfish.png,gauss_quantization_moderate.yaml,2,8,60,6,75,6,23.51,11.858,13.216,0.009,73,502,897,8,2,975,566,107,jellyfish,1.0,1.0,0.0
38,subject_partial_dog.webp,gauss_quantization_moderate.yaml,2,8,60,6,75,6,10.312,5.716,7.071,0.016,28,167,244,3,0,298,162,253,basenji,0.17,0.12,0.328
39,subject_puppy.png,gauss_quantization_moderate.yaml,2,8,60,6,75,6,55.616,13.243,14.601,0.014,85,572,1193,15,5,1649,732,207,golden retriever,0.94,0.96,0.02
40,subject_racecar.tif,gauss_quantization_moderate.yaml,2,8,60,6,75,6,187.829,16.783,18.141,0.009,20,2385,5705,42,5,5843,2969,573,go-kart,0.83,0.8,0.034
41,subject_radio.webp,gauss_quantization_moderate.yaml,2,8,60,6,75,6,157.111,19.519,20.876,0.044,118,444,1451,34,5,2304,546,754,radio,0.97,0.95,0.021
42,landscape_crowd.tif,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,65.529,2.854,4.337,0.003,21,2471,4662,16,2,4366,3176,981,ballplayer,0.16,0.02,0.894
43,landscape_el_capitain_with_night_sky.webp,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,11.095,0.773,2.257,0.002,108,630,1181,3,0,965,753,972,cliff,0.45,0.04,0.915
44,landscape_hill.png,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,36.498,2.249,3.732,0.003,232,1480,3030,9,1,3082,1970,984,rapeseed,0.25,0.07,0.698
45,landscape_iceberg.webp,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,3.575,1.406,2.888,0.007,30,171,219,2,1,186,133,296,ice bear,0.17,0.0,0.988
46,subject_Brooklyn_bridge.webp,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,17.249,3.723,5.205,0.007,86,376,673,5,1,727,465,718,pier,0.88,0.52,0.402
47,subject_bunny.tif,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,102.551,3.063,4.547,0.005,21,2392,4714,23,2,4909,2926,330,wood rabbit,0.51,0.69,0.369
48,subject_cat.webp,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,3.729,1.931,3.412,0.007,35,174,236,2,0,210,151,281,tabby,0.75,0.3,0.6
49,subject_flowers.webp,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,12.167,1.998,3.48,0.004,75,411,750,3,1,663,484,883,vase,0.45,0.12,0.723
50,subject_greenroom.tif,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,72.027,3.311,4.794,0.003,22,2443,5406,17,2,4200,2924,526,desk,0.67,0.85,0.269
51,subject_jellyfish.png,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,10.62,2.161,3.645,0.003,72,484,885,3,3,751,580,107,jellyfish,1.0,1.0,0.001
52,subject_partial_dog.webp,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,2.902,0.829,2.311,0.005,33,413,450,2,1,235,162,253,basenji,0.17,0.0,0.972
53,subject_puppy.png,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,14.852,3.336,4.819,0.004,84,581,1112,4,2,908,676,207,golden retriever,0.94,0.86,0.09
